company,category,file_name,chunk_idx,text
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,0,Life Insurance Corpora on of India Central Oﬃce Yogakshema Jeevan Bima Marg Mumbai 400021. Website www.licindia.in Registra on Number 512Registered Oﬃce Contact your LIC agent or nearest branch or visit our website or www.licindia.in SMS to e.g. Mumbai.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,1,YOUR CITY NAME 566773 LIC s JEEVAN AROGYA UIN 512N266V02 A Non linked Non Par cipa ng Individual Health Insurance Plan LIC s Jeevan Arogya is a unique non par cipa ng non linked plan which provides health insurance cover against certain speciﬁed health risks and provides you with mely support in case of medical emergencies and helps you and your family remainﬁnancially independent in diﬃcult mes. Health has been a major concern on everybody s mind including yours.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,2,In these days of skyrocke ng medical expenses when a family member is ill it is a trauma c me forthe rest of the family. As a caring person you do not want to let any unfortunateincident to aﬀect your plans for you and your family. So why let any medicalemergencies sha er your peace of mind.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,3,LIC s Jeevan Arogya gives you Valuable ﬁnancial protec on in case of hospitalisa on surgery etc Increasing Health cover every year Lump sum beneﬁt irrespec ve of actual medical costs No claim beneﬁt Flexible beneﬁt limit to choose from Flexible premium payment op ons Very easy to choose your plan Step 1 2 StepChoose the level of Health cover you need Work out the premium payable along with our Representa ve Step 1 Choose the level of Health cover you need You can choose the amount of Ini al Daily Beneﬁt i.e.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,4,the daily Hospital Cash Beneﬁt applicableintheﬁrstyearofthepolicy asperyourneedfromoutofthefollowingchoices 1000 per day 2000 per day 3000 per day 4000 per day This is the amount that will be payable to you in the event of hospitalisa on in the ﬁrst year on a per day basis. The Major Surgical Beneﬁt that you will be covered for will be 100 mes the Ini al Daily Beneﬁt you have chosen. Thus the ini al Major SurgicalBeneﬁt Sum Assured will be 1 lakh 2 lakh 3 lakh 4 lakh respec vely.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,5,Other beneﬁts such as Day Care Procedure Beneﬁt Other Surgical Beneﬁt and Premium waiverBeneﬁt PWB men oned below shall also be payable depending upon the dailyHospital Cash Beneﬁt chosen. Step 2 Work out the premium payable along with our representa ve Your premium will depend on your age gender the Health cover op on you have chosen whether you are Principal Insured or other insured life and the mode ofpayment.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,6,Tables below give an indica ve annual premium payable yearly for all health beneﬁts corresponding to an Ini al Daily Beneﬁt of 1000 per day for some of the ages in UNI20b9 respect of various lives that can be covered under a single policy Premiums indicated are exclusive of Taxes Who can be insured You as Principal Insured PI your spouse your children your parents and parents of your spouse can all be insured one policy.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,7,Quite a relief isn t it to have all insured under under one policy The minimum and maximum age at entry is as under PRINCIPAL INSURED Male Age at entry 20 30 40 50Premium 1922.652242.902799.703768.00 SPOUSE Female PARENT of PI Spouse Female Premium 1393.151730.65 2240.60 2849.10Age at entry 20304050 CHILD Premium 792.00794.75 812.35 870.75Age at entry 05 1015 Self spouse Parents parents in lawChildrenMinimum age at entry 18 years18 years 91 daysMaximum age at entry 65 years last birthday 75 last birthday 17 years last birthday How long are each insured under this policy Each of the insured are covered for risks up to age 80 .
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,8,Children are insured up Health to age 25 years. Hospital cash beneﬁt HCB Major Surgical Beneﬁt MSB Day Care Procedure Beneﬁt Other Surgical Beneﬁt Ambulance Beneﬁt Premium waiver Beneﬁt PWB A Hospital Cash Beneﬁt due to If you or any of the insured lives covered under the policy is hospitalised Accidental Body Injury or Sickness and the stay in hospital exceeds a con nuous period of 24 hours then for any con nuous period of 24 hours or part thereof 1.
LIC,Health Plans,LIC_Jeevan-Arogya-Brochure_9-inch-x-8-inch_Eng-(1).pdf,9,Beneﬁts oﬀered under the plan are LIC s JEEVAN AROGYA UIN 512N266V02 A Non linked Non Par cipa ng Individual Health Insurance Plan LIC s Jeevan Arogya is a unique non par cipa ng non linked plan which provides health insurance cover against certain speciﬁed health risks and provides you with mely support in case of medical emergencies and helps you and your family remainﬁnancially independent in diﬃcult mes. Health has been a major concern on everybody s mind including yours.
